"client_id","full_name","visit_count","money_spent","trains_in","servs_in"
31,"Нина Владимировна Комиссарова","0","810.00","0","0"
38,"Кононов Милован Венедиктович","0","630.00","0","2"
47,"Иван Аксёнович Мартынов","0","570.00","0","3"
88,"Баранова Марфа Владимировна","0","540.83","0","2"
35,"Марк Геннадиевич Кириллов","0","540.00","0","2"
83,"Федосий Ярославович Федосеев","0","540.00","0","1"
64,"Лаврентий Игоревич Никонов","0","480.00","0","2"
14,"Козлова Анжела Борисовна","0","467.79","0","1"
23,"Исакова Нинель Харитоновна","0","429.72","0","2"
26,"Степанова Анастасия Яковлевна","0","426.95","0","2"
54,"Шарапова Милица Григорьевна","0","420.00","0","5"
28,"Вячеслав Жанович Зиновьев","0","390.00","0","2"
45,"Алевтина Георгиевна Савина","0","390.00","0","2"
52,"Журавлева Феврония Оскаровна","0","390.00","0","1"
73,"Антонин Федотович Крылов","0","360.00","0","2"
40,"Горбунова Валерия Альбертовна","0","360.00","0","1"
21,"Ларионова София Кирилловна","0","340.52","0","0"
90,"Прохорова Елизавета Рубеновна","0","333.63","0","2"
19,"Кудрявцева Мария Архиповна","0","300.00","0","2"
89,"Макаров Панфил Богданович","0","300.00","0","2"
42,"Борис Борисович Тарасов","0","300.00","0","1"
3,"Филипп Даниилович Куликов","0","300.00","0","1"
86,"Филарет Фомич Лобанов","0","281.85","0","3"
99,"Борисов Арсений Ерофеевич","0","274.62","0","2"
36,"Элеонора Тарасовна Субботина","0","270.62","0","4"
16,"Георгий Анисимович Зимин","0","270.00","0","2"
71,"Шилова Марина Григорьевна","0","270.00","0","2"
5,"Прокл Демьянович Тихонов","0","270.00","0","1"
58,"Амос Аксёнович Герасимов","0","270.00","0","1"
11,"тов. Доронин Светозар Ефимович","0","242.85","0","3"
92,"Чеслав Вячеславович Яковлев","0","240.00","0","2"
95,"Наум Ильич Гуляев","0","240.00","0","0"
61,"Субботин Никита Харитонович","0","240.00","0","0"
66,"Ладислав Фролович Тихонов","0","229.47","0","3"
55,"Фирс Георгиевич Галкин","0","213.43","0","6"
13,"Элеонора Степановна Беляева","0","210.00","0","2"
91,"Семен Валерьевич Миронов","0","210.00","0","2"
69,"Юлия Кирилловна Зайцева","0","210.00","0","1"
96,"Валерия Рудольфовна Князева","0","210.00","0","0"
27,"Вероника Рубеновна Тетерина","0","210.00","0","0"
44,"Попов Афиноген Артурович","0","198.92","0","0"
15,"Амвросий Артемьевич Комиссаров","0","185.99","0","0"
37,"Емельянова Агата Николаевна","0","180.00","0","4"
75,"Лебедева Полина Ждановна","0","180.00","0","2"
6,"Кудряшов Георгий Харитонович","0","180.00","0","2"
34,"Трофимова Феврония Робертовна","0","180.00","0","2"
2,"Устинова Ия Рубеновна","0","180.00","0","1"
80,"г-жа Тихонова Лариса Архиповна","0","180.00","0","1"
30,"Рябов Трофим Трифонович","0","180.00","0","1"
98,"Вишнякова Валентина Александровна","0","180.00","0","1"
7,"Агафонова Екатерина Натановна","0","180.00","0","1"
84,"Носкова Фаина Даниловна","0","180.00","0","0"
1,"Сысоева Ксения Кузьминична","0","180.00","0","0"
39,"Леонтий Валерьянович Павлов","0","180.00","0","0"
65,"Громова Агафья Антоновна","0","120.00","0","3"
77,"Парфен Герасимович Кузьмин","0","120.00","0","3"
79,"Щукина Екатерина Руслановна","0","120.00","0","2"
56,"Иван Аверьянович Гаврилов","0","120.00","0","2"
74,"Савельева Любовь Даниловна","0","120.00","0","2"
51,"Зыков Панкрат Эдгардович","0","120.00","0","0"
82,"Антонина Альбертовна Кудрявцева","0","120.00","0","0"
50,"Евлампий Данилович Наумов","0","112.67","0","5"
29,"Богданова Ольга Тимофеевна","0","90.00","0","4"
48,"Феврония Александровна Ковалева","0","90.00","0","1"
68,"Сафонова Зоя Ждановна","0","90.00","0","1"
33,"Дарья Артемовна Смирнова","0","90.00","0","0"
8,"Лазарева Евфросиния Святославовна","0","90.00","0","0"
72,"Светозар Марсович Рябов","0","82.68","0","1"
41,"Тимофеева Галина Леоновна","0","74.00","0","0"
18,"Куприян Федосеевич Носков","0","73.53","0","2"
53,"Кулакова Кира Станиславовна","0","57.34","0","1"
97,"Милован Марсович Казаков","0","24.51","0","4"
46,"Кириллова Мария Архиповна","0","0","0","6"
85,"Любовь Феликсовна Воробьева","0","0","0","4"
20,"София Геннадьевна Титова","0","0","0","4"
12,"Мир Всеволодович Беляков","0","0","0","3"
94,"Дроздова Марфа Кирилловна","0","0","0","3"
67,"Ярополк Венедиктович Алексеев","0","0","0","2"
22,"Ипатий Трофимович Цветков","0","0","0","2"
93,"Логинова Ираида Александровна","0","0","0","2"
76,"тов. Кулагин Ипатий Всеволодович","0","0","0","2"
32,"Синклитикия Геннадьевна Сафонова","0","0","0","2"
100,"Эдуард Денисович Мясников","0","0","0","1"
63,"Лазарева Агафья Аскольдовна","0","0","0","1"
60,"Владлен Тарасович Лаврентьев","0","0","0","0"
59,"Рябов Глеб Бориславович","0","0","0","0"
57,"Кира Дмитриевна Соболева","0","0","0","0"
70,"Жуков Светозар Трифонович","0","0","0","0"
49,"Русакова Любовь Кирилловна","0","0","0","0"
43,"тов. Беспалов Станислав Венедиктович","0","0","0","0"
78,"Александра Павловна Фокина","0","0","0","0"
81,"Иванна Аскольдовна Крылова","0","0","0","0"
25,"Василиса Станиславовна Ларионова","0","0","0","0"
24,"Клавдия Вячеславовна Самсонова","0","0","0","0"
87,"Мельников Василий Филиппович","0","0","0","0"
17,"Нинель Макаровна Козлова","0","0","0","0"
10,"Симон Аверьянович Игнатьев","0","0","0","0"
9,"Виктория Владимировна Сергеева","0","0","0","0"
4,"Елисей Всеволодович Киселев","0","0","0","0"
62,"Рогова Нинель Матвеевна","0","0","0","0"
